Minutes,Type I,Type Ia,Type II,Type III,,
0:00,0.0174,0.0224,0.0101,0.01,,
0:01,0.0174,0.0224,0.0101,0.01,,
0:02,0.0174,0.0224,0.0101,0.01,,
0:03,0.0174,0.0224,0.0101,0.01,,
0:04,0.0174,0.0224,0.0101,0.01,,
0:05,0.0174,0.0224,0.0101,0.01,,
0:06,0.0174,0.0208,0.0101,0.01,,
0:07,0.0174,0.0208,0.0101,0.01,,
0:08,0.0174,0.0208,0.0101,0.01,,
0:09,0.0174,0.0208,0.0101,0.01,,
0:10,0.0174,0.0208,0.0101,0.01,,
0:11,0.0174,0.0208,0.0101,0.01,,
0:12,0.0174,0.0196,0.0103,0.01,,
0:13,0.0174,0.0196,0.0103,0.01,,
0:14,0.0174,0.0196,0.0103,0.01,,
0:15,0.0174,0.0196,0.0103,0.01,,
0:16,0.0174,0.0196,0.0103,0.01,,
0:17,0.0174,0.0196,0.0103,0.01,,
0:18,0.0175,0.0188,0.0103,0.01,,
0:19,0.0175,0.0188,0.0103,0.01,,
0:20,0.0175,0.0188,0.0103,0.01,,
0:21,0.0175,0.0188,0.0103,0.01,,
0:22,0.0175,0.0188,0.0103,0.01,,
0:23,0.0175,0.0188,0.0103,0.01,,
0:24,0.0174,0.0184,0.0105,0.01,,
0:25,0.0174,0.0184,0.0105,0.01,,
0:26,0.0174,0.0184,0.0105,0.01,,
0:27,0.0174,0.0184,0.0105,0.01,,
0:28,0.0174,0.0184,0.0105,0.01,,
0:29,0.0174,0.0184,0.0105,0.01,,
0:30,0.0175,0.0184,0.0105,0.01,,
0:31,0.0175,0.0184,0.0105,0.01,,
0:32,0.0175,0.0184,0.0105,0.01,,
0:33,0.0175,0.0184,0.0105,0.01,,
0:34,0.0175,0.0184,0.0105,0.01,,
0:35,0.0175,0.0184,0.0105,0.01,,
0:36,0.0174,0.0188,0.0107,0.01,,
0:37,0.0174,0.0188,0.0107,0.01,,
0:38,0.0174,0.0188,0.0107,0.01,,
0:39,0.0174,0.0188,0.0107,0.01,,
0:40,0.0174,0.0188,0.0107,0.01,,
0:41,0.0174,0.0188,0.0107,0.01,,
0:42,0.0175,0.0196,0.0107,0.01,,
0:43,0.0175,0.0196,0.0107,0.01,,
0:44,0.0175,0.0196,0.0107,0.01,,
0:45,0.0175,0.0196,0.0107,0.01,,
0:46,0.0175,0.0196,0.0107,0.01,,
0:47,0.0175,0.0196,0.0107,0.01,,
0:48,0.0175,0.0208,0.0109,0.01,,
0:49,0.0175,0.0208,0.0109,0.01,,
0:50,0.0175,0.0208,0.0109,0.01,,
0:51,0.0175,0.0208,0.0109,0.01,,
0:52,0.0175,0.0208,0.0109,0.01,,
0:53,0.0175,0.0208,0.0109,0.01,,
0:54,0.0175,0.0224,0.0109,0.01,,
0:55,0.0175,0.0224,0.0109,0.01,,
0:56,0.0175,0.0224,0.0109,0.01,,
0:57,0.0175,0.0224,0.0109,0.01,,
0:58,0.0175,0.0224,0.0109,0.01,,
0:59,0.0175,0.0224,0.0109,0.01,,
1:00,0.0175,0.0276,0.0111,0.01,,
1:01,0.0175,0.0276,0.0111,0.01,,
1:02,0.0175,0.0276,0.0111,0.01,,
1:03,0.0175,0.0276,0.0111,0.01,,
1:04,0.0175,0.0276,0.0111,0.01,,
1:05,0.0175,0.0276,0.0111,0.01,,
1:06,0.0175,0.0292,0.0111,0.01,,
1:07,0.0175,0.0292,0.0111,0.01,,
1:08,0.0175,0.0292,0.0111,0.01,,
1:09,0.0175,0.0292,0.0111,0.01,,
1:10,0.0175,0.0292,0.0111,0.01,,
1:11,0.0175,0.0292,0.0111,0.01,,
1:12,0.0175,0.0304,0.0113,0.01,,
1:13,0.0175,0.0304,0.0113,0.01,,
1:14,0.0175,0.0304,0.0113,0.01,,
